French 	EnglishDeutch
gilet	zipper
Se faire prendre pour une valise	You think I am stupid
tu me casse les couilles	you broke my balls
Volonté	will
pourqoi pas	why not
Siffler/ sifflement	Whistle
Mouillé	wet
bien penser	well planned
Poids	Weights
sex feminin/chatte/	vegina
veau	veal
Valeur	Value
Laid(e)/moche	Ugly
poubelle	trash
Souhaiter/souhait	to wish/a wish
s'emparer de / prendre ql	to take
tremblotement	to shiver
rasoir	to shave
partager/diviser	to share
Vérouiller	to lock
repasser	to iron
avoir un tric	to have a boner
abondoner	to give up
se corriger	to correct
"courber, s'incurver"	to bend
pour etre honète	to be honest
avoir le droit de / pouvoir	to be allowed to
Acouphène	tinnitus
etre minutieux	Thorough
astuce	the trick
au meme niveau	the same level
Que je l'éteigne	thay i turn it off(light )
Enseigner	Teaching
le gout musiqual	taste of music
saveur	taste
retoucheur	tailor
l'appui	Support
souche	stump
tempête	strom
Etirement	stretching
strabisme	strabismus/ to be crossed eye
chaussons	slippers
Similitude	similiarities
Panneuax	signs
Deguiser	sich als jemand
frimer	show off
Mouton	sheep
Tournevis	Screwdriver
Faire l’école buissonnière	Schwaenzen
anxiogène	scary
écharpe	scarf
vendeuse	saleswoman
impoli	rude
comendy romantique	romantic comidy
Redemarrer	restart
Decalé	rescheduled
rembourser	reimburse
Copmpte-rendu	Recap
concluant	promissing
"précieux,"	pressious
casserole	pot
poli polite	polite
le cochon	pig
bite/pennis/sex masculin	penis
pates	pasta
J ai la flemme	pas envie
temps supplementaire	overtime
"RTT, conjet suplementaire"	overtime
vieux	old
Nuille	noodle
information	news
Reseau	Network
Volubile	n/a
Vervlaubairel	n/a
une ruche d'abeilles	n/a
une ruche d'abeilles	n/a
une attente	n/a
un vieil arbre	n/a
un nouvel appartement 	n/a
un nouvel / un bel / un vieil arbre	n/a
un défi = a challenge	n/a
un défi = a challenge	n/a
un bel homme	n/a
Trancher	n/a
Tenir	n/a
Taquiner	n/a
Soutiens ?	n/a
Soutenir	n/a
sortie	n/a
Solager - relief	n/a
Silonne	n/a
Scrutin - vote	n/a
Remporter	n/a
Rediger	n/a
rebondir	n/a
Rallenge	n/a
"radio, podcast, read out loud"	n/a
Que veux-tu que cela me fasse	n/a
Qoi-meme	n/a
Puisque - parce que	n/a
prolonger son contrat	n/a
Prix Jutra s'appelle Pris Iris maintenant	n/a
prendre en considération 	n/a
Poser sa candidature	n/a
Pnonciation	n/a
Plutot que - instead of	n/a
Plus de soutien	n/a
Perceuse	n/a
Peines	n/a
Passoire	n/a
Otorhinolaryngologiste	n/a
Optenir l'attention	n/a
Octroyer - complanie que va donner des subventions	n/a
multiprise	n/a
motaphore	n/a
Mal a la gorche	n/a
Les main baladeuse	n/a
Le Tire bouchon	n/a
le manchit	n/a
le hérisson	n/a
le congé pascal	n/a
La tenue	n/a
l;'imprimante	n/a
Je me fie a toi	n/a
internet apps	n/a
Grammaire	n/a
Gigot - rack of lamb	n/a
fait un tabac	n/a
fait profil bas	n/a
Faire d'une pierre deux coups	n/a
Faire du train	n/a
Faire du leche-vitrine	n/a
Faire boule de neige	n/a
Faire amende honorable	n/a
Etre fâché/ etre en colère	n/a
Enonce	n/a
Enjeux - grand questions de public - issues	n/a
Emaner - to come from (situation )	n/a
Écoper	n/a
Drainent	n/a
Dissoudre	n/a
discipline reine	n/a
Des que - as soon as	n/a
des outils numériques 	n/a
des outils numériques	n/a
des accusations 	n/a
declencher - kickstart	n/a
Dechaine tandis que	n/a
culpabilité	n/a
Craindre	n/a
Craindre	n/a
chinois	n/a
cewrtitude	n/a
Cessation de travial	n/a
Cafettiere	n/a
Ca a du sens	n/a
brièvement	n/a
Brave	n/a
boite aux lettres	n/a
beau et vieil 	n/a
Banqueroute / failite	n/a
B2C - Business to customer	n/a
avauglement	n/a
Authentique	n/a
Autant	n/a
Appuyer	n/a
Appuier	n/a
Appuier	n/a
Apercoire - remarker(overview)	n/a
Ambassadrice 	n/a
A mesure que - as	n/a
Moule	Mussell / mold
Mechant	mean
Moquer	making fun of
se debrouiller	make it yourself
concretiser	make it happen
se connecter	login
Cadnas	lock
contrainte	limit
lentille	lens
paresseux	lazy
barriere languae	language barrier
clavier	keyboard
Juger	judge
blague	joke
presenter	introduce
au lieu de / plutot	instead
immortal	immortal
je m'en fiche	I don't care / I don't give a shit
Câllain	Hug
comme tu veux	how you want
Miel	Honey
honnete	honest
sans domicile fixe / SDF	homeless
casques	headphones
Poignee	Handle
a moitié plein	half full
a moité vide	half empty
Maliceux	gleeful / spiteful
Genre	Geschlecht
Ecart	gab
la grenouille	frog
Cadre	frame
Faire un tour de pot	fool around
caserbe de pompier	fire station
sensation bizarre	feels strange
Retroaction	feedback
Faire des pieds et des mains	Faire tous les efforts
attente/esperence (espoir)	expectations
Surtout	especially/ in particular
Effacer	erase / delete
Poussiere	Dust
debile/muet	Dumm
la perseuse	drill
une robe	dress
dessin	drawing
tiroir	drawer
brouillons	draft
âne	donkey
profend	deep
placard	cupboard
armoire	Cupboard
la vache	cow
Tousser	cough
félicitation f.	congrats
Taches menageres	Choars
cellules	celles
le papillion	butterfly
roter/erructation (med.)	bulp
grand reflection	brainstorming
des bottes	boots
Os	Bone
trou noir	black hole
se bouger	bend
Etre sur la meme Longeur d'onde	being on the same page
l'ours	bear
Panier	Basket
boulangery	bakery
Actif / avoir	Asset
le singe	ape
cheville	ankle
Une devinette	A guess
Arobase	@
Batême de feu	-
	
	
